"Sector","Function","Transaction","Data","2015"
"S1314 Social security funds","G01  General public services","D3K Subsidies","Per capita, EUR",.
"S1314 Social security funds","G01  General public services","D4K Property expenditure","Current prices",23
"S1314 Social security funds","G01  General public services","D4K Property expenditure","Ratio to GDP, %",0.0
"S1314 Social security funds","G01  General public services","D4K Property expenditure","Per capita, EUR",4
"S1314 Social security funds","G01  General public services","D4SK  Property expenditure, consolidated","Current prices",23
"S1314 Social security funds","G01  General public services","D4SK  Property expenditure, consolidated","Ratio to GDP, %",0.0
"S1314 Social security funds","G01  General public services","D4SK  Property expenditure, consolidated","Per capita, EUR",4
"S1314 Social security funds","G01  General public services","D5K Current taxes on income and wealth, etc., payable","Current prices",.
"S1314 Social security funds","G01  General public services","D5K Current taxes on income and wealth, etc., payable","Ratio to GDP, %",.
"S1314 Social security funds","G01  General public services","D5K Current taxes on income and wealth, etc., payable","Per capita, EUR",.
"S1314 Social security funds","G01  General public services","D62K Social benefits other than social transfers in kind, payable","Current prices",.
"S1314 Social security funds","G01  General public services","D62K Social benefits other than social transfers in kind, payable","Ratio to GDP, %",.
"S1314 Social security funds","G01  General public services","D62K Social benefits other than social transfers in kind, payable","Per capita, EUR",.
"S1314 Social security funds","G01  General public services","D632K Social transfers in kind - purchased market production","Current prices",.
"S1314 Social security funds","G01  General public services","D632K Social transfers in kind - purchased market production","Ratio to GDP, %",.
"S1314 Social security funds","G01  General public services","D632K Social transfers in kind - purchased market production","Per capita, EUR",.
"S1314 Social security funds","G01  General public services","D7K Other current transfers, payable","Current prices",.
"S1314 Social security funds","G01  General public services","D7K Other current transfers, payable","Ratio to GDP, %",.
"S1314 Social security funds","G01  General public services","D7K Other current transfers, payable","Per capita, EUR",.
"S1314 Social security funds","G01  General public services","D7SK Other current transfers, payable (consolidated)","Current prices",.
"S1314 Social security funds","G01  General public services","D7SK Other current transfers, payable (consolidated)","Ratio to GDP, %",.
"S1314 Social security funds","G01  General public services","D7SK Other current transfers, payable (consolidated)","Per capita, EUR",.
"S1314 Social security funds","G01  General public services","D9K Capital transfers, payable","Current prices",.
"S1314 Social security funds","G01  General public services","D9K Capital transfers, payable","Ratio to GDP, %",.
"S1314 Social security funds","G01  General public services","D9K Capital transfers, payable","Per capita, EUR",.
"S1314 Social security funds","G01  General public services","D9SK Capital transfers, payable (consolidated)","Current prices",.
"S1314 Social security funds","G01  General public services","D9SK Capital transfers, payable (consolidated)","Ratio to GDP, %",.
"S1314 Social security funds","G01  General public services","D9SK Capital transfers, payable (consolidated)","Per capita, EUR",.
"S1314 Social security funds","G01  General public services","P5K Gross capital formation","Current prices",.
"S1314 Social security funds","G01  General public services","P5K Gross capital formation","Ratio to GDP, %",.
"S1314 Social security funds","G01  General public services","P5K Gross capital formation","Per capita, EUR",.
"S1314 Social security funds","G01  General public services","P51K Gross fixed capital formation","Current prices",.
"S1314 Social security funds","G01  General public services","P51K Gross fixed capital formation","Ratio to GDP, %",.
"S1314 Social security funds","G01  General public services","P51K Gross fixed capital formation","Per capita, EUR",.
"S1314 Social security funds","G01  General public services","NPK Acquisitions less disposals of non-produced assets","Current prices",.
"S1314 Social security funds","G01  General public services","NPK Acquisitions less disposals of non-produced assets","Ratio to GDP, %",.
"S1314 Social security funds","G01  General public services","NPK Acquisitions less disposals of non-produced assets","Per capita, EUR",.
"S1314 Social security funds","G01  General public services","P3K Final consumption expenditure","Current prices",39
"S1314 Social security funds","G01  General public services","P3K Final consumption expenditure","Ratio to GDP, %",0.0
"S1314 Social security funds","G01  General public services","P3K Final consumption expenditure","Per capita, EUR",7
"S1314 Social security funds","G01  General public services","NETEXP Net expenditure","Current prices",62
"S1314 Social security funds","G01  General public services","NETEXP Net expenditure","Ratio to GDP, %",0.0
"S1314 Social security funds","G01  General public services","NETEXP Net expenditure","Per capita, EUR",11
"S1314 Social security funds","G01  General public services","NETEXPS Net expenditure, consolidated","Current prices",62
"S1314 Social security funds","G01  General public services","NETEXPS Net expenditure, consolidated","Ratio to GDP, %",0.0
"S1314 Social security funds","G01  General public services","NETEXPS Net expenditure, consolidated","Per capita, EUR",11
"S1314 Social security funds","G01  General public services","TOTEXP Total expenditure","Current prices",62
"S1314 Social security funds","G01  General public services","TOTEXP Total expenditure","Ratio to GDP, %",0.0
"S1314 Social security funds","G01  General public services","TOTEXP Total expenditure","Per capita, EUR",11
"S1314 Social security funds","G01  General public services","TOTEXPS Total expenditure, consolidated","Current prices",62
"S1314 Social security funds","G01  General public services","TOTEXPS Total expenditure, consolidated","Ratio to GDP, %",0.0
"S1314 Social security funds","G01  General public services","TOTEXPS Total expenditure, consolidated","Per capita, EUR",11
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D1K Compensation of employees","Current prices",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D1K Compensation of employees","Ratio to GDP, %",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D1K Compensation of employees","Per capita, EUR",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D11K Wages and salaries","Current prices",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D11K Wages and salaries","Ratio to GDP, %",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D11K Wages and salaries","Per capita, EUR",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D12K Employers' social contributions","Current prices",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D12K Employers' social contributions","Ratio to GDP, %",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D12K Employers' social contributions","Per capita, EUR",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","P2K Intermediate consumption","Current prices",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","P2K Intermediate consumption","Ratio to GDP, %",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","P2K Intermediate consumption","Per capita, EUR",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D29K Other taxes on production","Current prices",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D29K Other taxes on production","Ratio to GDP, %",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D29K Other taxes on production","Per capita, EUR",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D3K Subsidies","Current prices",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D3K Subsidies","Ratio to GDP, %",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D3K Subsidies","Per capita, EUR",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D4K Property expenditure","Current prices",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D4K Property expenditure","Ratio to GDP, %",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D4K Property expenditure","Per capita, EUR",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D4SK  Property expenditure, consolidated","Current prices",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D4SK  Property expenditure, consolidated","Ratio to GDP, %",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D4SK  Property expenditure, consolidated","Per capita, EUR",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D5K Current taxes on income and wealth, etc., payable","Current prices",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D5K Current taxes on income and wealth, etc., payable","Ratio to GDP, %",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D5K Current taxes on income and wealth, etc., payable","Per capita, EUR",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D62K Social benefits other than social transfers in kind, payable","Current prices",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D62K Social benefits other than social transfers in kind, payable","Ratio to GDP, %",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D62K Social benefits other than social transfers in kind, payable","Per capita, EUR",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D632K Social transfers in kind - purchased market production","Current prices",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D632K Social transfers in kind - purchased market production","Ratio to GDP, %",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D632K Social transfers in kind - purchased market production","Per capita, EUR",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D7K Other current transfers, payable","Current prices",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D7K Other current transfers, payable","Ratio to GDP, %",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D7K Other current transfers, payable","Per capita, EUR",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D7SK Other current transfers, payable (consolidated)","Current prices",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D7SK Other current transfers, payable (consolidated)","Ratio to GDP, %",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D7SK Other current transfers, payable (consolidated)","Per capita, EUR",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D9K Capital transfers, payable","Current prices",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D9K Capital transfers, payable","Ratio to GDP, %",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D9K Capital transfers, payable","Per capita, EUR",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D9SK Capital transfers, payable (consolidated)","Current prices",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D9SK Capital transfers, payable (consolidated)","Ratio to GDP, %",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","D9SK Capital transfers, payable (consolidated)","Per capita, EUR",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","P5K Gross capital formation","Current prices",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","P5K Gross capital formation","Ratio to GDP, %",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","P5K Gross capital formation","Per capita, EUR",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","P51K Gross fixed capital formation","Current prices",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","P51K Gross fixed capital formation","Ratio to GDP, %",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","P51K Gross fixed capital formation","Per capita, EUR",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","NPK Acquisitions less disposals of non-produced assets","Current prices",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","NPK Acquisitions less disposals of non-produced assets","Ratio to GDP, %",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","NPK Acquisitions less disposals of non-produced assets","Per capita, EUR",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","P3K Final consumption expenditure","Current prices",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","P3K Final consumption expenditure","Ratio to GDP, %",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","P3K Final consumption expenditure","Per capita, EUR",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","NETEXP Net expenditure","Current prices",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","NETEXP Net expenditure","Ratio to GDP, %",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","NETEXP Net expenditure","Per capita, EUR",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","NETEXPS Net expenditure, consolidated","Current prices",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","NETEXPS Net expenditure, consolidated","Ratio to GDP, %",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","NETEXPS Net expenditure, consolidated","Per capita, EUR",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","TOTEXP Total expenditure","Current prices",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","TOTEXP Total expenditure","Ratio to GDP, %",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","TOTEXP Total expenditure","Per capita, EUR",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","TOTEXPS Total expenditure, consolidated","Current prices",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","TOTEXPS Total expenditure, consolidated","Ratio to GDP, %",.
"S1314 Social security funds","G0101  Executive and legislative organs, financial, fiscal and external affairs","TOTEXPS Total expenditure, consolidated","Per capita, EUR",.
"S1314 Social security funds","G0102  Foreign economic aid","D1K Compensation of employees","Current prices",.
"S1314 Social security funds","G0102  Foreign economic aid","D1K Compensation of employees","Ratio to GDP, %",.
"S1314 Social security funds","G0102  Foreign economic aid","D1K Compensation of employees","Per capita, EUR",.
"S1314 Social security funds","G0102  Foreign economic aid","D11K Wages and salaries","Current prices",.
"S1314 Social security funds","G0102  Foreign economic aid","D11K Wages and salaries","Ratio to GDP, %",.
"S1314 Social security funds","G0102  Foreign economic aid","D11K Wages and salaries","Per capita, EUR",.
"S1314 Social security funds","G0102  Foreign economic aid","D12K Employers' social contributions","Current prices",.
"S1314 Social security funds","G0102  Foreign economic aid","D12K Employers' social contributions","Ratio to GDP, %",.
"S1314 Social security funds","G0102  Foreign economic aid","D12K Employers' social contributions","Per capita, EUR",.
"S1314 Social security funds","G0102  Foreign economic aid","P2K Intermediate consumption","Current prices",.
"S1314 Social security funds","G0102  Foreign economic aid","P2K Intermediate consumption","Ratio to GDP, %",.
"S1314 Social security funds","G0102  Foreign economic aid","P2K Intermediate consumption","Per capita, EUR",.
"S1314 Social security funds","G0102  Foreign economic aid","D29K Other taxes on production","Current prices",.
"S1314 Social security funds","G0102  Foreign economic aid","D29K Other taxes on production","Ratio to GDP, %",.
"S1314 Social security funds","G0102  Foreign economic aid","D29K Other taxes on production","Per capita, EUR",.
"S1314 Social security funds","G0102  Foreign economic aid","D3K Subsidies","Current prices",.
"S1314 Social security funds","G0102  Foreign economic aid","D3K Subsidies","Ratio to GDP, %",.
"S1314 Social security funds","G0102  Foreign economic aid","D3K Subsidies","Per capita, EUR",.
"S1314 Social security funds","G0102  Foreign economic aid","D4K Property expenditure","Current prices",.
"S1314 Social security funds","G0102  Foreign economic aid","D4K Property expenditure","Ratio to GDP, %",.
"S1314 Social security funds","G0102  Foreign economic aid","D4K Property expenditure","Per capita, EUR",.
"S1314 Social security funds","G0102  Foreign economic aid","D4SK  Property expenditure, consolidated","Current prices",.
"S1314 Social security funds","G0102  Foreign economic aid","D4SK  Property expenditure, consolidated","Ratio to GDP, %",.
"S1314 Social security funds","G0102  Foreign economic aid","D4SK  Property expenditure, consolidated","Per capita, EUR",.
"S1314 Social security funds","G0102  Foreign economic aid","D5K Current taxes on income and wealth, etc., payable","Current prices",.
"S1314 Social security funds","G0102  Foreign economic aid","D5K Current taxes on income and wealth, etc., payable","Ratio to GDP, %",.
"S1314 Social security funds","G0102  Foreign economic aid","D5K Current taxes on income and wealth, etc., payable","Per capita, EUR",.
"S1314 Social security funds","G0102  Foreign economic aid","D62K Social benefits other than social transfers in kind, payable","Current prices",.
"S1314 Social security funds","G0102  Foreign economic aid","D62K Social benefits other than social transfers in kind, payable","Ratio to GDP, %",.
"S1314 Social security funds","G0102  Foreign economic aid","D62K Social benefits other than social transfers in kind, payable","Per capita, EUR",.
"S1314 Social security funds","G0102  Foreign economic aid","D632K Social transfers in kind - purchased market production","Current prices",.
"S1314 Social security funds","G0102  Foreign economic aid","D632K Social transfers in kind - purchased market production","Ratio to GDP, %",.
"S1314 Social security funds","G0102  Foreign economic aid","D632K Social transfers in kind - purchased market production","Per capita, EUR",.
"S1314 Social security funds","G0102  Foreign economic aid","D7K Other current transfers, payable","Current prices",.
"S1314 Social security funds","G0102  Foreign economic aid","D7K Other current transfers, payable","Ratio to GDP, %",.
"S1314 Social security funds","G0102  Foreign economic aid","D7K Other current transfers, payable","Per capita, EUR",.
"S1314 Social security funds","G0102  Foreign economic aid","D7SK Other current transfers, payable (consolidated)","Current prices",.
"S1314 Social security funds","G0102  Foreign economic aid","D7SK Other current transfers, payable (consolidated)","Ratio to GDP, %",.
"S1314 Social security funds","G0102  Foreign economic aid","D7SK Other current transfers, payable (consolidated)","Per capita, EUR",.
"S1314 Social security funds","G0102  Foreign economic aid","D9K Capital transfers, payable","Current prices",.
"S1314 Social security funds","G0102  Foreign economic aid","D9K Capital transfers, payable","Ratio to GDP, %",.
"S1314 Social security funds","G0102  Foreign economic aid","D9K Capital transfers, payable","Per capita, EUR",.
"S1314 Social security funds","G0102  Foreign economic aid","D9SK Capital transfers, payable (consolidated)","Current prices",.
"S1314 Social security funds","G0102  Foreign economic aid","D9SK Capital transfers, payable (consolidated)","Ratio to GDP, %",.
"S1314 Social security funds","G0102  Foreign economic aid","D9SK Capital transfers, payable (consolidated)","Per capita, EUR",.
"S1314 Social security funds","G0102  Foreign economic aid","P5K Gross capital formation","Current prices",.
"S1314 Social security funds","G0102  Foreign economic aid","P5K Gross capital formation","Ratio to GDP, %",.
"S1314 Social security funds","G0102  Foreign economic aid","P5K Gross capital formation","Per capita, EUR",.
"S1314 Social security funds","G0102  Foreign economic aid","P51K Gross fixed capital formation","Current prices",.
"S1314 Social security funds","G0102  Foreign economic aid","P51K Gross fixed capital formation","Ratio to GDP, %",.
"S1314 Social security funds","G0102  Foreign economic aid","P51K Gross fixed capital formation","Per capita, EUR",.
"S1314 Social security funds","G0102  Foreign economic aid","NPK Acquisitions less disposals of non-produced assets","Current prices",.
"S1314 Social security funds","G0102  Foreign economic aid","NPK Acquisitions less disposals of non-produced assets","Ratio to GDP, %",.
"S1314 Social security funds","G0102  Foreign economic aid","NPK Acquisitions less disposals of non-produced assets","Per capita, EUR",.
"S1314 Social security funds","G0102  Foreign economic aid","P3K Final consumption expenditure","Current prices",.
"S1314 Social security funds","G0102  Foreign economic aid","P3K Final consumption expenditure","Ratio to GDP, %",.
"S1314 Social security funds","G0102  Foreign economic aid","P3K Final consumption expenditure","Per capita, EUR",.
"S1314 Social security funds","G0102  Foreign economic aid","NETEXP Net expenditure","Current prices",.
"S1314 Social security funds","G0102  Foreign economic aid","NETEXP Net expenditure","Ratio to GDP, %",.
"S1314 Social security funds","G0102  Foreign economic aid","NETEXP Net expenditure","Per capita, EUR",.
"S1314 Social security funds","G0102  Foreign economic aid","NETEXPS Net expenditure, consolidated","Current prices",.
"S1314 Social security funds","G0102  Foreign economic aid","NETEXPS Net expenditure, consolidated","Ratio to GDP, %",.
"S1314 Social security funds","G0102  Foreign economic aid","NETEXPS Net expenditure, consolidated","Per capita, EUR",.
"S1314 Social security funds","G0102  Foreign economic aid","TOTEXP Total expenditure","Current prices",.
"S1314 Social security funds","G0102  Foreign economic aid","TOTEXP Total expenditure","Ratio to GDP, %",.
"S1314 Social security funds","G0102  Foreign economic aid","TOTEXP Total expenditure","Per capita, EUR",.
"S1314 Social security funds","G0102  Foreign economic aid","TOTEXPS Total expenditure, consolidated","Current prices",.
"S1314 Social security funds","G0102  Foreign economic aid","TOTEXPS Total expenditure, consolidated","Ratio to GDP, %",.
"S1314 Social security funds","G0102  Foreign economic aid","TOTEXPS Total expenditure, consolidated","Per capita, EUR",.
"S1314 Social security funds","G0103  General services","D1K Compensation of employees","Current prices",.
"S1314 Social security funds","G0103  General services","D1K Compensation of employees","Ratio to GDP, %",.
"S1314 Social security funds","G0103  General services","D1K Compensation of employees","Per capita, EUR",.
"S1314 Social security funds","G0103  General services","D11K Wages and salaries","Current prices",.
"S1314 Social security funds","G0103  General services","D11K Wages and salaries","Ratio to GDP, %",.
"S1314 Social security funds","G0103  General services","D11K Wages and salaries","Per capita, EUR",.
"S1314 Social security funds","G0103  General services","D12K Employers' social contributions","Current prices",.
"S1314 Social security funds","G0103  General services","D12K Employers' social contributions","Ratio to GDP, %",.
"S1314 Social security funds","G0103  General services","D12K Employers' social contributions","Per capita, EUR",.
"S1314 Social security funds","G0103  General services","P2K Intermediate consumption","Current prices",.
"S1314 Social security funds","G0103  General services","P2K Intermediate consumption","Ratio to GDP, %",.
"S1314 Social security funds","G0103  General services","P2K Intermediate consumption","Per capita, EUR",.
"S1314 Social security funds","G0103  General services","D29K Other taxes on production","Current prices",.
"S1314 Social security funds","G0103  General services","D29K Other taxes on production","Ratio to GDP, %",.
"S1314 Social security funds","G0103  General services","D29K Other taxes on production","Per capita, EUR",.
"S1314 Social security funds","G0103  General services","D3K Subsidies","Current prices",.
"S1314 Social security funds","G0103  General services","D3K Subsidies","Ratio to GDP, %",.
"S1314 Social security funds","G0103  General services","D3K Subsidies","Per capita, EUR",.
"S1314 Social security funds","G0103  General services","D4K Property expenditure","Current prices",.
"S1314 Social security funds","G0103  General services","D4K Property expenditure","Ratio to GDP, %",.
"S1314 Social security funds","G0103  General services","D4K Property expenditure","Per capita, EUR",.
"S1314 Social security funds","G0103  General services","D4SK  Property expenditure, consolidated","Current prices",.
"S1314 Social security funds","G0103  General services","D4SK  Property expenditure, consolidated","Ratio to GDP, %",.
"S1314 Social security funds","G0103  General services","D4SK  Property expenditure, consolidated","Per capita, EUR",.
"S1314 Social security funds","G0103  General services","D5K Current taxes on income and wealth, etc., payable","Current prices",.
"S1314 Social security funds","G0103  General services","D5K Current taxes on income and wealth, etc., payable","Ratio to GDP, %",.
"S1314 Social security funds","G0103  General services","D5K Current taxes on income and wealth, etc., payable","Per capita, EUR",.
"S1314 Social security funds","G0103  General services","D62K Social benefits other than social transfers in kind, payable","Current prices",.
"S1314 Social security funds","G0103  General services","D62K Social benefits other than social transfers in kind, payable","Ratio to GDP, %",.
"S1314 Social security funds","G0103  General services","D62K Social benefits other than social transfers in kind, payable","Per capita, EUR",.
"S1314 Social security funds","G0103  General services","D632K Social transfers in kind - purchased market production","Current prices",.
"S1314 Social security funds","G0103  General services","D632K Social transfers in kind - purchased market production","Ratio to GDP, %",.
"S1314 Social security funds","G0103  General services","D632K Social transfers in kind - purchased market production","Per capita, EUR",.
"S1314 Social security funds","G0103  General services","D7K Other current transfers, payable","Current prices",.
"S1314 Social security funds","G0103  General services","D7K Other current transfers, payable","Ratio to GDP, %",.
"S1314 Social security funds","G0103  General services","D7K Other current transfers, payable","Per capita, EUR",.
"S1314 Social security funds","G0103  General services","D7SK Other current transfers, payable (consolidated)","Current prices",.
"S1314 Social security funds","G0103  General services","D7SK Other current transfers, payable (consolidated)","Ratio to GDP, %",.
"S1314 Social security funds","G0103  General services","D7SK Other current transfers, payable (consolidated)","Per capita, EUR",.
"S1314 Social security funds","G0103  General services","D9K Capital transfers, payable","Current prices",.
"S1314 Social security funds","G0103  General services","D9K Capital transfers, payable","Ratio to GDP, %",.
"S1314 Social security funds","G0103  General services","D9K Capital transfers, payable","Per capita, EUR",.
"S1314 Social security funds","G0103  General services","D9SK Capital transfers, payable (consolidated)","Current prices",.
"S1314 Social security funds","G0103  General services","D9SK Capital transfers, payable (consolidated)","Ratio to GDP, %",.
"S1314 Social security funds","G0103  General services","D9SK Capital transfers, payable (consolidated)","Per capita, EUR",.
"S1314 Social security funds","G0103  General services","P5K Gross capital formation","Current prices",.
"S1314 Social security funds","G0103  General services","P5K Gross capital formation","Ratio to GDP, %",.
"S1314 Social security funds","G0103  General services","P5K Gross capital formation","Per capita, EUR",.
"S1314 Social security funds","G0103  General services","P51K Gross fixed capital formation","Current prices",.
"S1314 Social security funds","G0103  General services","P51K Gross fixed capital formation","Ratio to GDP, %",.
"S1314 Social security funds","G0103  General services","P51K Gross fixed capital formation","Per capita, EUR",.
"S1314 Social security funds","G0103  General services","NPK Acquisitions less disposals of non-produced assets","Current prices",.
"S1314 Social security funds","G0103  General services","NPK Acquisitions less disposals of non-produced assets","Ratio to GDP, %",.
"S1314 Social security funds","G0103  General services","NPK Acquisitions less disposals of non-produced assets","Per capita, EUR",.
"S1314 Social security funds","G0103  General services","P3K Final consumption expenditure","Current prices",.
"S1314 Social security funds","G0103  General services","P3K Final consumption expenditure","Ratio to GDP, %",.
"S1314 Social security funds","G0103  General services","P3K Final consumption expenditure","Per capita, EUR",.
"S1314 Social security funds","G0103  General services","NETEXP Net expenditure","Current prices",.
"S1314 Social security funds","G0103  General services","NETEXP Net expenditure","Ratio to GDP, %",.
"S1314 Social security funds","G0103  General services","NETEXP Net expenditure","Per capita, EUR",.
"S1314 Social security funds","G0103  General services","NETEXPS Net expenditure, consolidated","Current prices",.
"S1314 Social security funds","G0103  General services","NETEXPS Net expenditure, consolidated","Ratio to GDP, %",.
"S1314 Social security funds","G0103  General services","NETEXPS Net expenditure, consolidated","Per capita, EUR",.
"S1314 Social security funds","G0103  General services","TOTEXP Total expenditure","Current prices",.
"S1314 Social security funds","G0103  General services","TOTEXP Total expenditure","Ratio to GDP, %",.
"S1314 Social security funds","G0103  General services","TOTEXP Total expenditure","Per capita, EUR",.
"S1314 Social security funds","G0103  General services","TOTEXPS Total expenditure, consolidated","Current prices",.
"S1314 Social security funds","G0103  General services","TOTEXPS Total expenditure, consolidated","Ratio to GDP, %",.
"S1314 Social security funds","G0103  General services","TOTEXPS Total expenditure, consolidated","Per capita, EUR",.
"S1314 Social security funds","G0104  Basic research","D1K Compensation of employees","Current prices",.
"S1314 Social security funds","G0104  Basic research","D1K Compensation of employees","Ratio to GDP, %",.
"S1314 Social security funds","G0104  Basic research","D1K Compensation of employees","Per capita, EUR",.
"S1314 Social security funds","G0104  Basic research","D11K Wages and salaries","Current prices",.
"S1314 Social security funds","G0104  Basic research","D11K Wages and salaries","Ratio to GDP, %",.
"S1314 Social security funds","G0104  Basic research","D11K Wages and salaries","Per capita, EUR",.
"S1314 Social security funds","G0104  Basic research","D12K Employers' social contributions","Current prices",.
"S1314 Social security funds","G0104  Basic research","D12K Employers' social contributions","Ratio to GDP, %",.
"S1314 Social security funds","G0104  Basic research","D12K Employers' social contributions","Per capita, EUR",.
"S1314 Social security funds","G0104  Basic research","P2K Intermediate consumption","Current prices",.
"S1314 Social security funds","G0104  Basic research","P2K Intermediate consumption","Ratio to GDP, %",.
"S1314 Social security funds","G0104  Basic research","P2K Intermediate consumption","Per capita, EUR",.
"S1314 Social security funds","G0104  Basic research","D29K Other taxes on production","Current prices",.
"S1314 Social security funds","G0104  Basic research","D29K Other taxes on production","Ratio to GDP, %",.
"S1314 Social security funds","G0104  Basic research","D29K Other taxes on production","Per capita, EUR",.
"S1314 Social security funds","G0104  Basic research","D3K Subsidies","Current prices",.
"S1314 Social security funds","G0104  Basic research","D3K Subsidies","Ratio to GDP, %",.
"S1314 Social security funds","G0104  Basic research","D3K Subsidies","Per capita, EUR",.
"S1314 Social security funds","G0104  Basic research","D4K Property expenditure","Current prices",.
"S1314 Social security funds","G0104  Basic research","D4K Property expenditure","Ratio to GDP, %",.
"S1314 Social security funds","G0104  Basic research","D4K Property expenditure","Per capita, EUR",.
"S1314 Social security funds","G0104  Basic research","D4SK  Property expenditure, consolidated","Current prices",.
